number,value,datetime_start,datetime_complete,duration,params_Q10,params_SPAN,params_TDWI,params_TSUM1,params_TSUM2,state
1269,1778.8872980288934,2024-03-04 11:47:20.519566,2024-03-04 11:47:20.576333,0 days 00:00:00.056767,2.021599134687317,36.84345388856009,0.5613162829007138,666.5207504242535,1393.8369038125459,COMPLETE
1270,2858.7380674428373,2024-03-04 11:47:20.796073,2024-03-04 11:47:20.848557,0 days 00:00:00.052484,2.0882400523551983,33.39813955158884,0.5762627376865076,745.1539690577383,1581.5829314252567,COMPLETE
1271,2050.729576927619,2024-03-04 11:47:21.040497,2024-03-04 11:47:21.097888,0 days 00:00:00.057391,1.9529090376153966,32.11477454320047,0.5201468753247577,718.1262568423023,1344.3089545363707,COMPLETE
1272,1961.4413566655671,2024-03-04 11:47:21.316729,2024-03-04 11:47:21.369183,0 days 00:00:00.052454,2.1986256835329514,32.55231150142798,0.5956912685987367,696.4638175764451,1323.6664063777723,COMPLETE
1273,1604.6188782290678,2024-03-04 11:47:21.571832,2024-03-04 11:47:21.630957,0 days 00:00:00.059125,1.9737465617346854,33.0998969646644,0.4029469628382362,671.0129017224909,1546.7954855994963,COMPLETE
1274,286.2872762299852,2024-03-04 11:47:21.846428,2024-03-04 11:47:21.910749,0 days 00:00:00.064321,2.069627446658484,34.68214798957629,0.5073685987567138,522.7262899916349,1572.4113568413168,COMPLETE
1275,436.9420478850469,2024-03-04 11:47:22.127082,2024-03-04 11:47:22.184715,0 days 00:00:00.057633,1.9819821345986295,33.95004776934,0.5554887278366704,512.1942104704452,1262.0221142831765,COMPLETE
1276,50.49889210939799,2024-03-04 11:47:22.400990,2024-03-04 11:47:22.464875,0 days 00:00:00.063885,2.078740202267476,35.214955769562735,0.5447968964543373,530.5040739800439,1353.499235977981,COMPLETE
1277,123.42048781819848,2024-03-04 11:47:22.663321,2024-03-04 11:47:22.714946,0 days 00:00:00.051625,2.035920802135396,33.3062726894165,0.43836392367167326,550.7568678592575,1408.0422001185266,COMPLETE
1278,2002.2915944151337,2024-03-04 11:47:22.918316,2024-03-04 11:47:22.968728,0 days 00:00:00.050412,2.14434533213144,32.77455232957872,0.5299396409957409,685.145263428816,1436.3262999572457,COMPLETE
1279,25.376054808594333,2024-03-04 11:47:23.152089,2024-03-04 11:47:23.206153,0 days 00:00:00.054064,1.9955337301561156,33.63540404831251,0.4954370257431956,541.4748845334752,1337.8507894330037,COMPLETE
1280,790.914569629742,2024-03-04 11:47:23.399773,2024-03-04 11:47:23.450030,0 days 00:00:00.050257,1.9629027046026308,32.979676784683285,0.5892728090572824,595.0656211922255,1317.2821857067024,COMPLETE
1281,141.5625926770704,2024-03-04 11:47:23.645279,2024-03-04 11:47:23.703904,0 days 00:00:00.058625,2.061381535289512,33.44855354947432,0.57159188026704,500.0099779765005,1588.7399401825774,COMPLETE
1282,275.6225694234285,2024-03-04 11:47:23.896657,2024-03-04 11:47:23.955901,0 days 00:00:00.059244,2.1177383540807946,32.34012132801545,0.4343349813109939,570.5348536272046,1364.2236830069546,COMPLETE
1283,257.4523634720278,2024-03-04 11:47:24.147210,2024-03-04 11:47:24.199049,0 days 00:00:00.051839,2.0482819788699356,30.119808333021624,0.5827828183935013,517.5913157064687,1331.636316360935,COMPLETE
1284,238.31641407834766,2024-03-04 11:47:24.384421,2024-03-04 11:47:24.434731,0 days 00:00:00.050310,2.1089702709195994,31.34751468738478,0.47619316271255757,528.1595807450952,1346.250582835822,COMPLETE
1285,887.4335264754733,2024-03-04 11:47:24.628320,2024-03-04 11:47:24.683539,0 days 00:00:00.055219,2.095739281484243,33.1901029442358,0.566905608811668,593.0390635987958,1355.9847847311344,COMPLETE
1286,1471.617311002415,2024-03-04 11:47:24.870722,2024-03-04 11:47:24.929987,0 days 00:00:00.059265,1.9874127797971246,32.63782187369972,0.5615024964731306,647.9490267516776,1371.2304810426942,COMPLETE
1287,2196.594089355527,2024-03-04 11:47:25.124140,2024-03-04 11:47:25.174603,0 days 00:00:00.050463,2.010496564039326,33.81987143954344,0.4479424011117859,753.7350060967908,1289.4829271411754,COMPLETE
1288,1619.5996068444535,2024-03-04 11:47:25.369301,2024-03-04 11:47:25.425348,0 days 00:00:00.056047,2.1321386201345636,28.255145048679577,0.4246671955751218,710.0788922980503,1337.7631230855623,COMPLETE
